date,app_id,title,avg_players,peak_players
2022-10-01,1938090,Call of Duty: Modern Warfare II,262875,262875
2022-11-01,1938090,Call of Duty: Modern Warfare II,488897,488897
2022-12-01,1938090,Call of Duty: Modern Warfare II,308833,308833
2023-01-01,1938090,Call of Duty: Modern Warfare II,167294,167294
2023-02-01,1938090,Call of Duty: Modern Warfare II,167640,167640
2023-03-01,1938090,Call of Duty: Modern Warfare II,156956,156956
2023-04-01,1938090,Call of Duty: Modern Warfare II,146067,146067
2023-05-01,1938090,Call of Duty: Modern Warfare II,102040,102040
2023-06-01,1938090,Call of Duty: Modern Warfare II,113002,113002
2023-07-01,1938090,Call of Duty: Modern Warfare II,86278,86278
2023-08-01,1938090,Call of Duty: Modern Warfare II,111913,111913
2023-09-01,1938090,Call of Duty: Modern Warfare II,88115,88115
2023-10-01,1938090,Call of Duty: Modern Warfare II,186402,186402
2023-11-01,1938090,Call of Duty: Modern Warfare II,190273,190273
2023-12-01,1938090,Call of Duty: Modern Warfare II,161960,161960
2024-01-01,1938090,Call of Duty: Modern Warfare II,144838,144838
2024-02-01,1938090,Call of Duty: Modern Warfare II,154491,154491
2024-03-01,1938090,Call of Duty: Modern Warfare II,119465,119465
2024-04-01,1938090,Call of Duty: Modern Warfare II,165756,165756
2024-05-01,1938090,Call of Duty: Modern Warfare II,129056,129056
2024-06-01,1938090,Call of Duty: Modern Warfare II,133356,133356
2024-07-01,1938090,Call of Duty: Modern Warfare II,105754,105754
2024-08-01,1938090,Call of Duty: Modern Warfare II,153244,153244
2024-09-01,1938090,Call of Duty: Modern Warfare II,157718,157718
2024-10-01,1938090,Call of Duty: Modern Warfare II,306133,306133
2024-11-01,1938090,Call of Duty: Modern Warfare II,313313,313313
2024-12-01,1938090,Call of Duty: Modern Warfare II,191538,191538
2025-01-01,1938090,Call of Duty: Modern Warfare II,111472,111472
2025-02-01,1938090,Call of Duty: Modern Warfare II,101760,101760
2025-03-01,1938090,Call of Duty: Modern Warfare II,76258,76258
2025-04-01,1938090,Call of Duty: Modern Warfare II,138335,138335
2025-05-01,1938090,Call of Duty: Modern Warfare II,111680,111680
2025-06-01,1938090,Call of Duty: Modern Warfare II,104112,104112
2025-07-01,1938090,Call of Duty: Modern Warfare II,90230,90230
2025-08-01,1938090,Call of Duty: Modern Warfare II,70483,70483
2025-09-01,1938090,Call of Duty: Modern Warfare II,63073,63073
2025-10-01,1938090,Call of Duty: Modern Warfare II,99072,99072
2025-11-01,1938090,Call of Duty: Modern Warfare II,91752,91752
2025-12-01,1938090,Call of Duty: Modern Warfare II,73143,73143
2026-01-01,1938090,Call of Duty: Modern Warfare II,57963,57963
2026-02-01,1938090,Call of Duty: Modern Warfare II,49724,65904
2026-03-01,1938090,Call of Duty: Modern Warfare II,43542,56420
2026-04-01,1938090,Call of Duty: Modern Warfare II,27843,56600
2026-05-01,1938090,Call of Duty: Modern Warfare II,29885,49817
2023-12-01,2519060,Call of Duty: Modern Warfare III,2,2
2024-01-01,2519060,Call of Duty: Modern Warfare III,1,1
2024-02-01,2519060,Call of Duty: Modern Warfare III,1,1
2024-03-01,2519060,Call of Duty: Modern Warfare III,3,3
2025-01-01,2519060,Call of Duty: Modern Warfare III,1,1
