date,interest,keyword
2004-01-01,38,Call of Duty
2004-02-01,31,Call of Duty
2004-03-01,27,Call of Duty
2004-04-01,22,Call of Duty
2004-05-01,20,Call of Duty
2004-06-01,19,Call of Duty
2004-07-01,20,Call of Duty
2004-08-01,18,Call of Duty
2004-09-01,28,Call of Duty
2004-10-01,28,Call of Duty
2004-11-01,25,Call of Duty
2004-12-01,34,Call of Duty
2005-01-01,27,Call of Duty
2005-02-01,20,Call of Duty
2005-03-01,21,Call of Duty
2005-04-01,17,Call of Duty
2005-05-01,16,Call of Duty
2005-06-01,14,Call of Duty
2005-07-01,14,Call of Duty
2005-08-01,14,Call of Duty
2005-09-01,17,Call of Duty
2005-10-01,26,Call of Duty
2005-11-01,44,Call of Duty
2005-12-01,46,Call of Duty
2006-01-01,30,Call of Duty
2006-02-01,22,Call of Duty
2006-03-01,19,Call of Duty
2006-04-01,19,Call of Duty
2006-05-01,16,Call of Duty
2006-06-01,16,Call of Duty
2006-07-01,17,Call of Duty
2006-08-01,16,Call of Duty
2006-09-01,16,Call of Duty
2006-10-01,18,Call of Duty
2006-11-01,26,Call of Duty
2006-12-01,27,Call of Duty
2007-01-01,20,Call of Duty
2007-02-01,17,Call of Duty
2007-03-01,15,Call of Duty
2007-04-01,16,Call of Duty
2007-05-01,15,Call of Duty
2007-06-01,15,Call of Duty
2007-07-01,17,Call of Duty
2007-08-01,18,Call of Duty
2007-09-01,18,Call of Duty
2007-10-01,24,Call of Duty
2007-11-01,65,Call of Duty
2007-12-01,63,Call of Duty
2008-01-01,46,Call of Duty
2008-02-01,42,Call of Duty
2008-03-01,39,Call of Duty
2008-04-01,33,Call of Duty
2008-05-01,26,Call of Duty
2008-06-01,33,Call of Duty
2008-07-01,30,Call of Duty
2008-08-01,29,Call of Duty
2008-09-01,28,Call of Duty
2008-10-01,35,Call of Duty
2008-11-01,67,Call of Duty
2008-12-01,54,Call of Duty
2009-01-01,43,Call of Duty
2009-02-01,35,Call of Duty
2009-03-01,35,Call of Duty
2009-04-01,29,Call of Duty
2009-05-01,31,Call of Duty
2009-06-01,31,Call of Duty
2009-07-01,32,Call of Duty
2009-08-01,35,Call of Duty
2009-09-01,31,Call of Duty
2009-10-01,35,Call of Duty
2009-11-01,86,Call of Duty
2009-12-01,59,Call of Duty
2010-01-01,48,Call of Duty
2010-02-01,39,Call of Duty
2010-03-01,34,Call of Duty
2010-04-01,31,Call of Duty
2010-05-01,39,Call of Duty
2010-06-01,33,Call of Duty
2010-07-01,30,Call of Duty
2010-08-01,36,Call of Duty
2010-09-01,36,Call of Duty
2010-10-01,39,Call of Duty
2010-11-01,100,Call of Duty
2010-12-01,62,Call of Duty
2011-01-01,50,Call of Duty
2011-02-01,42,Call of Duty
2011-03-01,35,Call of Duty
2011-04-01,33,Call of Duty
2011-05-01,36,Call of Duty
2011-06-01,37,Call of Duty
2011-07-01,35,Call of Duty
2011-08-01,36,Call of Duty
2011-09-01,33,Call of Duty
2011-10-01,34,Call of Duty
2011-11-01,68,Call of Duty
2011-12-01,44,Call of Duty
2012-01-01,36,Call of Duty
2012-02-01,31,Call of Duty
2012-03-01,28,Call of Duty
2012-04-01,28,Call of Duty
2012-05-01,28,Call of Duty
2012-06-01,25,Call of Duty
2012-07-01,27,Call of Duty
2012-08-01,26,Call of Duty
2012-09-01,23,Call of Duty
2012-10-01,25,Call of Duty
2012-11-01,47,Call of Duty
2012-12-01,36,Call of Duty
2013-01-01,28,Call of Duty
2013-02-01,25,Call of Duty
2013-03-01,23,Call of Duty
2013-04-01,23,Call of Duty
2013-05-01,27,Call of Duty
2013-06-01,24,Call of Duty
2013-07-01,24,Call of Duty
2013-08-01,27,Call of Duty
2013-09-01,21,Call of Duty
2013-10-01,24,Call of Duty
2013-11-01,60,Call of Duty
2013-12-01,35,Call of Duty
2014-01-01,27,Call of Duty
2014-02-01,23,Call of Duty
2014-03-01,21,Call of Duty
2014-04-01,20,Call of Duty
2014-05-01,23,Call of Duty
2014-06-01,19,Call of Duty
2014-07-01,20,Call of Duty
2014-08-01,22,Call of Duty
2014-09-01,17,Call of Duty
2014-10-01,22,Call of Duty
2014-11-01,46,Call of Duty
2014-12-01,32,Call of Duty
2015-01-01,24,Call of Duty
2015-02-01,21,Call of Duty
2015-03-01,20,Call of Duty
2015-04-01,19,Call of Duty
2015-05-01,18,Call of Duty
2015-06-01,17,Call of Duty
2015-07-01,19,Call of Duty
2015-08-01,20,Call of Duty
2015-09-01,15,Call of Duty
2015-10-01,16,Call of Duty
2015-11-01,33,Call of Duty
2015-12-01,25,Call of Duty
2016-01-01,19,Call of Duty
2016-02-01,18,Call of Duty
2016-03-01,16,Call of Duty
2016-04-01,15,Call of Duty
